loan_amnt,term,int_rate,installment,emp_title,emp_length,home_ownership,annual_inc,loan_status,purpose,title,dti,delinq_2yrs,date,Reference number
26125.0, 36 months, 14.49%,899.13,Medical Supply Technician,10+ years,RENT,57000.0,Fully Paid,debt_consolidation,Debt consolidation,32.27,0.0,01/08/2014,98612494
5000.0, 36 months,  7.90%,156.46,STAFF WRITER,4 years,RENT,35000.0,Fully Paid,credit_card,Credit card refinancing,15.56,0.0,01/01/2014,84238224
8250.0, 36 months,  9.67%,264.93,Project manager,< 1 year,MORTGAGE,92000.0,Fully Paid,debt_consolidation,Debt consolidation,12.27,0.0,01/04/2014,42731556
16000.0, 60 months, 13.33%,366.76,National Director of Franchise Growth,2 years,MORTGAGE,104000.0,Fully Paid,home_improvement,Home improvement,16.78,0.0,01/08/2015,46024870
15000.0, 36 months, 15.61%,524.48,Manager of Training Programs,8 years,MORTGAGE,80000.0,Fully Paid,debt_consolidation,Debt consolidation,11.81,0.0,01/08/2014,93257050
4200.0, 36 months, 13.67%,142.88,Manager,< 1 year,MORTGAGE,93000.0,Fully Paid,other,Other,14.22,0.0,01/12/2015,57955211
22950.0, 60 months, 23.43%,652.66,Human Services Specialist,7 years,RENT,64000.0,Fully Paid,debt_consolidation,Debt consolidation,22.18,2.0,01/07/2014,60048784
7700.0, 36 months, 15.61%,269.23,Radiology Technician,9 years,MORTGAGE,60000.0,Fully Paid,debt_consolidation,Debt consolidation,29.78,0.0,01/04/2014,11376727
5975.0, 36 months, 10.15%,193.22,Electrical Engineer,3 years,MORTGAGE,88000.0,Charged Off,debt_consolidation,Debt consolidation,21.97,0.0,01/06/2014,67671951
7000.0, 36 months,  9.17%,223.16,Finance Manager,2 years,RENT,62000.0,Fully Paid,debt_consolidation,Debt consolidation,9.95,0.0,01/06/2014,89913900
5000.0, 36 months, 17.57%,179.69,BILLER/CUST/SEV.,10+ years,MORTGAGE,48137.0,Fully Paid,debt_consolidation,Debt consolidation,32.51,0.0,01/01/2014,48416583
6000.0, 36 months,  7.69%,187.17,Attorney,2 years,RENT,70000.0,Fully Paid,credit_card,Credit card refinancing,25.53,0.0,01/08/2014,76111074
28000.0, 60 months, 22.15%,775.72,Director IT,5 years,RENT,160000.0,Charged Off,medical,Medical expenses,9.33,0.0,01/07/2014,69763804
8400.0, 36 months, 13.35%,284.45,Personnel Officer,2 years,RENT,72000.0,Fully Paid,other,Other,15.27,0.0,01/07/2014,93433607
18000.0, 36 months,  9.17%,573.83,Supervisor Development,8 years,MORTGAGE,71000.0,Fully Paid,debt_consolidation,Debt consolidation,12.17,0.0,01/09/2014,11678715
13000.0, 36 months,  8.18%,408.46,Registered Nurse,10+ years,MORTGAGE,104000.0,Fully Paid,home_improvement,Home improvement,17.11,1.0,01/08/2015,76414680
6000.0, 36 months,  8.39%,189.1,Teller,1 year,RENT,20000.0,Fully Paid,credit_card,Credit card refinancing,26.25,0.0,01/07/2014,40389165
14325.0, 60 months, 15.61%,345.4,Assistant Manager,4 years,RENT,52000.0,Fully Paid,debt_consolidation,Debt consolidation,22.32,0.0,01/08/2014,43545225
24000.0, 36 months,  7.89%,750.86,Budget Manager,10+ years,MORTGAGE,79200.0,Fully Paid,other,Other,7.08,0.0,01/06/2015,37652649
9000.0, 36 months,  9.67%,289.02,RELATIONSHIP BANKER,4 years,MORTGAGE,60000.0,Fully Paid,debt_consolidation,Debt consolidation,19.02,0.0,01/04/2014,28818951
20000.0, 36 months, 12.69%,670.9,maintenance tech,10+ years,MORTGAGE,64649.0,Fully Paid,debt_consolidation,Debt consolidation,13.74,0.0,01/04/2015,31978138
3000.0, 36 months, 12.49%,100.35,"Director of Business Development, Global",3 years,OWN,78000.0,Charged Off,debt_consolidation,Debt consolidation,19.79,2.0,01/06/2014,44473740
